Diabetes Typ 2, 150
Bluthochdruck, 140
Asthma, 130
Alzheimer-Krankheit, 120
Parkinson-Krankheit, 110
Brustkrebs, 100
Lungenkrebs, 100
Prostatakrebs, 90
Depression, 90
Angststörung, 80
Rheumatoide Arthritis, 80
Multiple Sklerose, 70
Chronisch obstruktive Lungenerkrankung, 70
Herzinsuffizienz, 60
Schlaganfall, 60
Adipositas, 50
HIV/AIDS, 50
Hepatitis C, 40
Morbus Crohn, 40
Colitis ulcerosa, 40
COVID-19, 120
Migräne, 70
Osteoporose, 60
Psoriasis, 50
Vorhofflimmern, 50
Opioidabhängigkeit, 40
Schlaflosigkeit, 40
Glaukom, 30
Makuladegeneration, 30
Chronische Nierenerkrankung, 30 
