product,weight
Car Battery,1.0
Tire,1.0
Engine Oil,0.9
Air Filter,0.8
Spark Plug,0.8
Brake Pads,0.9
Wiper Blades,0.8
Car Wax,0.7
Windshield Washer Fluid,0.7
Car Cover,0.6
Car Jack,0.7
Jumper Cables,0.8
GPS Navigator,0.7
Floor Mats,0.8
Oil Filter,0.7
Car Vacuum,0.6
Steering Wheel Cover,0.6
Tire Inflator,0.7
Car Charger,0.9
Tool Kit,0.8
Seat Cover,0.8
Headlight Bulb,0.8
Roof Rack,0.6
Car Camera,0.7
Tow Rope,0.6
Brake Fluid,0.7
Diagnostic Tool,0.7
Air Compressor,0.6
Portable Jump Starter,0.8
Phone Mount,0.8
