Schwangerschaft oder Stillzeit, 200
Planung einer Schwangerschaft während der Studiendauer, 180
Bekannte Überempfindlichkeit gegen das Studienmedikament oder seine Bestandteile, 190
Teilnahme an einer anderen klinischen Studie innerhalb von 30 Tagen, 180
Größere Operation innerhalb von 4 Wochen vor der Aufnahme, 170
Vorgeschichte von Nichteinhaltung medizinischer Regime, 160
Unwillig oder unfähig, das Protokoll einzuhalten, 170
Signifikante medizinische Erkrankung, die die Studie beeinträchtigen könnte, 160
Instabile medizinische Erkrankung, die eine sofortige Behandlung erfordert, 150
Aktive Infektion, die eine systemische Behandlung erfordert, 140
Vorgeschichte von Malignität innerhalb der letzten 5 Jahre, 130
Immungeschwächter Status, 120
Vorgeschichte von Organtransplantation, 110
Signifikante kardiovaskuläre Erkrankung, 150
Unkontrollierter Bluthochdruck, 140
Unkontrollierter Diabetes, 140
Schwere Nierenfunktionsstörung, 130
Schwere Leberfunktionsstörung, 130
Vorgeschichte von Magen-Darm-Erkrankungen, die die Arzneimittelabsorption beeinträchtigen könnten, 120
Vorgeschichte von Anfällen oder Epilepsie, 110
Vorgeschichte von Schlaganfall oder transitorischer ischämischer Attacke innerhalb von 6 Monaten, 120
Vorgeschichte von Myokardinfarkt innerhalb von 6 Monaten, 120
Psychiatrische Störung, die die Compliance beeinträchtigen könnte, 110
Substanzmissbrauch innerhalb des letzten Jahres, 100
Positiver Test auf Hepatitis B, Hepatitis C oder HIV, 90
Verwendung verbotener Medikamente, 100
Abnormale Laborwerte von klinischer Bedeutung, 90
QTc-Intervallverlängerung im EKG, 80
Vorgeschichte von ventrikulären Arrhythmien, 80
Blutungsstörung oder Antikoagulanzientherapie, 70
Geplante elektive Operation während der Studiendauer, 70
Lebenserwartung weniger als 6 Monate, 60
Eastern Cooperative Oncology Group (ECOG) Performance-Status > 2, 60
Karnofsky Performance Status (KPS) Score < 60%, 50
Vorherige Behandlung mit ähnlichen Wirkstoffen, 50
Strahlentherapie innerhalb von 4 Wochen vor der Aufnahme, 40
Unfähigkeit, orale Medikamente zu schlucken, 40
Kontraindikationen für erforderliche bildgebende Verfahren, 30
Rechtliche Unfähigkeit oder eingeschränkte Rechtsfähigkeit, 30
Mitarbeiter oder Familienmitglied des Prüfarztes oder der Prüfstelle, 20 
