Diabetes Typ 2 Studie, 150
Bluthochdruck Management Studie, 140
Asthma Kontrollforschung, 130
Alzheimer-Präventionsstudie, 120
Parkinson-Behandlungsstudie, 110
Brustkrebs-Immuntherapie-Studie, 100
Lungenkrebs Gezielte Therapiestudie, 100
Prostatakrebs-Screening-Studie, 90
Depressionsbehandlung Vergleichsstudie, 90
Angststörung Management Studie, 80
Rheumatoide Arthritis Medikamentenstudie, 80
Multiple Sklerose Progressionsstudie, 70
COPD Exazerbationspräventionsstudie, 70
Herzinsuffizienz Medikamentenstudie, 60
Schlaganfall-Erholungsintervention, 60
Adipositas-Managementprogramm, 50
HIV-Behandlungsoptimierungsstudie, 50
Hepatitis C Heilungsratenstudie, 40
Morbus Crohn Biologikastudie, 40
Colitis Ulcerosa Behandlungsstudie, 40
COVID-19 Impfstoff-Wirksamkeitsstudie, 120
Migränepräventionsstudie, 70
Osteoporose-Frakturprävention, 60
Psoriasis Neuartige Behandlungsstudie, 50
Vorhofflimmern-Managementstudie, 50
Opioidsucht-Behandlungsstudie, 40
Insomnie-Therapievergleich, 40
Glaukom-Progressionsprävention, 30
Makuladegeneration Behandlungsstudie, 30
Nierenerkrankung Progressionsstudie, 30 
