Charité - Universitätsmedizin Berlin, 200
Universitätsklinikum Heidelberg, 190
Klinikum der Ludwig-Maximilians-Universität München, 180
Universitätsklinikum Hamburg-Eppendorf, 180
Universitätsklinikum Frankfurt, 170
Universitätsklinikum Tübingen, 170
Universitätsklinikum Freiburg, 160
Universitätsklinikum Köln, 160
Universitätsklinikum Essen, 150
Universitätsklinikum Würzburg, 150
Universitätsklinikum Erlangen, 140
Universitätsklinikum Bonn, 140
Universitätsklinikum Dresden, 130
Universitätsklinikum Düsseldorf, 130
Universitätsklinikum Münster, 120
Universitätsklinikum Mainz, 120
Universitätsklinikum Jena, 110
Universitätsklinikum Ulm, 110
Universitätsklinikum Regensburg, 100
Universitätsklinikum Magdeburg, 100
Universitätsklinikum Leipzig, 90
Universitätsklinikum Aachen, 90
Universitätsklinikum Gießen und Marburg, 80
Universitätsklinikum Schleswig-Holstein, 80
Universitätsklinikum Halle, 70
Universitätsklinikum Augsburg, 70
Universitätsklinikum Mannheim, 60
Universitätsklinikum Göttingen, 60
Universitätsklinikum des Saarlandes, 50
Universitätsklinikum Rostock, 50
Klinikum rechts der Isar der TU München, 40
Universitätsklinikum Greifswald, 40
Helios Klinikum Berlin-Buch, 30
Asklepios Klinik St. Georg Hamburg, 30
Klinikum Stuttgart, 20
Städtisches Klinikum München, 20
Klinikum Nürnberg, 20
Klinikum Dortmund, 10
Klinikum Bremen-Mitte, 10
Klinikum Karlsruhe, 10
