Techniker Krankenkasse, 150
AOK, 140
Barmer, 130
DAK-Gesundheit, 120
IKK, 110
BKK, 100
Knappschaft, 90
Allianz Private Krankenversicherung, 80
DKV Deutsche Krankenversicherung, 70
AXA Krankenversicherung, 60
Debeka Krankenversicherung, 50
Signal Iduna Krankenversicherung, 40
HUK-COBURG Krankenversicherung, 30
Generali Deutschland Krankenversicherung, 20
Gothaer Krankenversicherung, 20
Barmenia Krankenversicherung, 20
Hallesche Krankenversicherung, 20
Continentale Krankenversicherung, 20
Hanse Merkur Krankenversicherung, 20
Württembergische Krankenversicherung, 20
ARAG Krankenversicherung, 20
Bayerische Beamtenkrankenkasse, 20
Universa Krankenversicherung, 20
Nürnberger Krankenversicherung, 20
Envivas Krankenversicherung, 20
Central Krankenversicherung, 20
Selbstzahler, 30
Ausländische Krankenversicherung, 20
Beihilfe, 40
Gesetzliche Unfallversicherung, 30 
