language,weight
Deutsch,200
Englisch,150
Türkisch,100
Russisch,80
Polnisch,70
Arabisch,60
Italienisch,50
Französisch,50
Spanisch,40
Rumänisch,30
Griechisch,30
Kroatisch,25
Serbisch,25
Bulgarisch,20
Niederländisch,20
Ukrainisch,20
Ungarisch,15
Portugiesisch,15
Tschechisch,15
Persisch,15
Vietnamesisch,10
Chinesisch (Mandarin),10
Albanisch,10
Kurdisch,10
Bosnisch,10
Slowakisch,5
Slowenisch,5
Dänisch,5
Schwedisch,5
Finnisch,5
Norwegisch,5
Japanisch,5
Koreanisch,5
Hindi,5
Urdu,5
Punjabi,5
Bengalisch,5
Thailändisch,5
Hebräisch,5
Indonesisch,5 
