name,dosage,frequency,route,weight
Ramipril,5 mg,Einmal täglich,Oral,200
Simvastatin,20 mg,Einmal täglich,Oral,190
L-Thyroxin,50 mcg,Einmal täglich,Oral,180
Metformin,500 mg,Zweimal täglich,Oral,170
Amlodipin,5 mg,Einmal täglich,Oral,160
Metoprolol,47.5 mg,Zweimal täglich,Oral,150
Pantoprazol,40 mg,Einmal täglich,Oral,140
Atorvastatin,20 mg,Einmal täglich,Oral,130
Valsartan,80 mg,Einmal täglich,Oral,120
Salbutamol,100 mcg,Bei Bedarf,Inhalation,110
Gabapentin,300 mg,Dreimal täglich,Oral,100
Hydrochlorothiazid,25 mg,Einmal täglich,Oral,95
Sertralin,50 mg,Einmal täglich,Oral,90
Paracetamol,500 mg,Alle 6 Stunden,Oral,85
Ibuprofen,400 mg,Alle 6 Stunden,Oral,80
Furosemid,40 mg,Einmal täglich,Oral,75
Fluticason,100 mcg,Zweimal täglich,Inhalation,70
Escitalopram,10 mg,Einmal täglich,Oral,65
Montelukast,10 mg,Einmal täglich,Oral,60
Omeprazol,20 mg,Einmal täglich,Oral,55
Prednisolon,5 mg,Einmal täglich,Oral,50
Citalopram,20 mg,Einmal täglich,Oral,45
Fluoxetin,20 mg,Einmal täglich,Oral,40
Amoxicillin,500 mg,Dreimal täglich,Oral,35
Rosuvastatin,10 mg,Einmal täglich,Oral,30
Bupropion,150 mg,Einmal täglich,Oral,25
Duloxetin,30 mg,Einmal täglich,Oral,20
Bisoprolol,5 mg,Einmal täglich,Oral,15
Tramadol,50 mg,Alle 6 Stunden,Oral,10
Meloxicam,7.5 mg,Einmal täglich,Oral,10
Venlafaxin,75 mg,Einmal täglich,Oral,10
Mirtazapin,15 mg,Zur Nacht,Oral,10
Diclofenac,50 mg,Dreimal täglich,Oral,10
Azithromycin,250 mg,Einmal täglich,Oral,10
Pravastatin,20 mg,Einmal täglich,Oral,10
Phenprocoumon,3 mg,Nach Schema,Oral,10
Lorazepam,1 mg,Zweimal täglich,Oral,10
Clopidogrel,75 mg,Einmal täglich,Oral,10
Tamsulosin,0.4 mg,Einmal täglich,Oral,10
Glimepirid,2 mg,Einmal täglich,Oral,10
Diazepam,5 mg,Zweimal täglich,Oral,10
Alprazolam,0.5 mg,Dreimal täglich,Oral,10
Novaminsulfon,500 mg,Viermal täglich,Oral,10
Insulin Glargin,10 Einheiten,Einmal täglich,Subkutan,10
Insulin Lispro,4 Einheiten,Vor den Mahlzeiten,Subkutan,10
ASS,100 mg,Einmal täglich,Oral,10
Cetirizin,10 mg,Einmal täglich,Oral,10
Loratadin,10 mg,Einmal täglich,Oral,10
Ranitidin,150 mg,Zweimal täglich,Oral,10
Famotidin,20 mg,Zweimal täglich,Oral,10 
