specialty,weight
Allgemeinmedizin,200
Innere Medizin,190
Pädiatrie,180
Notfallmedizin,170
Gynäkologie und Geburtshilfe,160
Psychiatrie und Psychotherapie,150
Chirurgie,140
Anästhesiologie,130
Radiologie,120
Kardiologie,110
Orthopädie,100
Neurologie,95
Dermatologie,90
Augenheilkunde,85
Urologie,80
Gastroenterologie,75
Onkologie,70
Endokrinologie,65
Nephrologie,60
Pneumologie,55
Rheumatologie,50
Infektiologie,45
Hämatologie,40
Physikalische und Rehabilitative Medizin,35
Allergologie,30
Hals-Nasen-Ohren-Heilkunde,25
Plastische Chirurgie,20
Gefäßchirurgie,15
Thoraxchirurgie,10
Neonatologie,10
Geriatrie,10
Sportmedizin,10
Schmerzmedizin,10
Schlafmedizin,10
Palliativmedizin,10
Humangenetik,10
Nuklearmedizin,10
Pathologie,10
Arbeitsmedizin,10
Strahlentherapie,10 
