Por favor llamar antes de entregar,0.055
Dejar el paquete con el vecino del 3ºB,0.05
Lugar seguro: caja azul de reciclaje,0.045
Llamar si el portal está cerrado,0.035
Entrega después de las 19h preferible,0.05
Frágil - manipular con cuidado,0.055
No dejar en la puerta,0.03
Es un regalo - retirar la factura,0.04
Añadir nota de cumpleaños,0.025
Avisar 10 minutos antes de llegar,0.03
Usar la entrada lateral por la cochera,0.02
Perro en el patio - cerrar la puerta,0.025
Depositar en la taquilla de paquetería,0.035
Tocar suavemente - bebé durmiendo,0.03
Entregar antes de las 9h si es posible,0.02
Firma necesaria en recepción,0.03
Llamar al llegar para abrir el ascensor,0.02
Dejar con el conserje en la portería,0.03
Mantener refrigerados los productos frescos,0.02
Colocar el paquete sobre el banco del porche,0.02
Dejar en la puerta trasera bajo el toldo,0.02
Pedir código 4839 al vigilante,0.02
Entrega solo en franja de tarde,0.02
Dejar con el vecino puerta izquierda,0.02
Confirmar entrega por WhatsApp,0.02
El timbre no funciona - tocar la puerta,0.02
Si no hay respuesta, llevar a oficina de Correos,0.02
Dejar dentro del garaje - clave 1470,0.02
Traer bolígrafo para la firma,0.01
Colocar el paquete en el trastero de bicis,0.015
Devolver la llave en el gancho del portal,0.01
Usar el telefonillo etiquetado ADMIN,0.015
Marcar portero 16 y esperar en el vestíbulo,0.015
Entregar en mano a la secretaria Laura,0.02
Entrega matinal antes de las 7h agradecida,0.01
Cerrar el portal al salir,0.015
Dejar el paquete en la estantería del hall,0.015
Si llueve, entregar en sala de mensajería,0.015
Avisar al jefe de almacén al llegar,0.015
Usar muelle de carga número 2,0.01
Dejar el paquete dentro del baúl del porche,0.01
