Merci de sonner avant de livrer,0.055
Laisser le colis chez le gardien,0.05
Déposer au point relais voisin si absent,0.045
Appeler en cas d'absence,0.035
Livraison après 18h préférable,0.05
Colis fragile - manipuler avec soin,0.055
Ne pas laisser devant la porte,0.03
Cadeau - merci de retirer la facture,0.045
Ajouter un message de félicitations,0.03
Prévenir 10 minutes avant l'arrivée,0.03
Déposer dans la boîte à colis sécurisée,0.04
Utiliser l'entrée arrière de l'immeuble,0.02
Livraison silencieuse (bébé qui dort),0.025
Appeler le voisin M. Dupont si absent,0.02
Merci de scanner le QR code reçu par SMS,0.02
Livrer avant 9h si possible,0.02
Laisser le colis à la loge du gardien,0.03
Prévenir par SMS avant le passage,0.03
Colis réfrigéré, merci de garder au frais,0.02
Déposer dans le coffre à colis connecté,0.02
Patienter à l'interphone, je descends,0.02
Merci de monter au 5e sans ascenseur,0.015
Appeler pour code portail secondaire,0.02
Livraison sur le créneau du soir uniquement,0.02
Laisser chez le voisin porte droite,0.02
Confirmer la livraison par SMS,0.02
Merci de ne pas sonner - réunion en visioconférence,0.015
Déposer sur le chariot du concierge,0.01
Apporter un stylo pour signature papier,0.01
Prévenir avant de partir pour laisser badge,0.015
Sonner à l'interphone B - code 4826,0.015
Laisser colis à l'accueil entreprise (3e étage),0.02
Livraison le matin avant 7h appréciée,0.01
Merci de fermer le portail en repartant,0.015
Déposer dans le garage bleu côté cour,0.015
Livrer en main propre uniquement,0.02
Prévenir 30 minutes avant l'arrivée,0.015
Laisser le colis dans le local vélos,0.015
Merci de déposer sur le paillasson intérieur,0.01
Livrer au bureau de poste si absence prolongée,0.01
Contacter via l'interphone C - code 2045,0.02
