status,weight
BESTELLUNG_EINGEGANGEN,0.07
RECHNUNG_OFFEN,0.055
ZAHLUNG_EINGEGANGEN,0.095
IN_BEARBEITUNG,0.11
QUALITAETSPRUEFUNG,0.045
WARENENTNAHME,0.065
VERPACKT,0.055
WARTET_AUF_VERSAND,0.045
VERSENDET,0.1
IN_ZUSTELLUNG,0.085
ZUGESTELLT,0.075
ABHOLUNG_PAKETSHOP,0.03
ABHOLBEREIT,0.028
LIEFERUNG_TERMINIERT,0.035
ZUSTELL_HINDERNIS,0.018
WETTERVERZOEGERT,0.015
RETOURE_ANGEFRAGT,0.02
RETOURE_UNTERWEGS,0.02
RETOURE_EINGETROFFEN,0.02
ERSTATTUNG_AUSSTEHEND,0.015
ERSTATTET,0.02
UMTAUSCH_INITIIERT,0.015
NACHBESTELLT,0.022
AUF_HALT,0.015
FRAUD_PRUEFUNG,0.01
STORNIERT,0.008
