status,weight
PENDING,0.075
AWAITING_PAYMENT,0.05
PAYMENT_CONFIRMED,0.09
PROCESSING,0.11
QUALITY_CHECK,0.045
PICKING,0.065
PACKED,0.055
AWAITING_SHIPMENT,0.05
SHIPPED,0.1
IN_TRANSIT,0.08
OUT_FOR_DELIVERY,0.09
DELIVERED,0.075
DELIVERY_EXCEPTION,0.018
WEATHER_DELAY,0.015
HOLD_FOR_PICKUP,0.02
CUSTOMER_PICKUP_READY,0.02
RETURN_REQUESTED,0.022
RETURN_IN_TRANSIT,0.022
RETURN_RECEIVED,0.02
REFUND_PENDING,0.018
REFUNDED,0.02
EXCHANGE_INITIATED,0.015
BACKORDERED,0.022
ON_HOLD,0.015
FRAUD_REVIEW,0.01
CANCELLED,0.008
