status,weight
PENDING,0.07
CHO_XAC_NHAN,0.065
CHO_THANH_TOAN,0.05
THANH_TOAN_THANH_CONG,0.075
DANG_XU_LY,0.1
KIEM_TRA_CHAT_LUONG,0.045
DANG_SOAN_HANG,0.07
DA_DONG_GOI,0.06
CHO_DON_VI_VAN_CHUYEN,0.05
DA_BAN_GIAO_CHO_SHIPPER,0.045
DANG_VAN_CHUYEN,0.1
DEN_BUU_CUC,0.05
DANG_GIAO_HANG,0.075
GIAO_LAI_THEO_YEU_CAU,0.025
DA_GIAO,0.07
GIAO_THANH_CONG_TAI_CUA_HANG,0.025
KHONG_PHAT_DUOC,0.02
TRE_HEN_VAN_CHUYEN,0.015
THU_HOI_HANG,0.02
TRA_HANG_YEU_CAU,0.02
TRA_HANG_DANG_VE,0.02
DA_TRA_HANG,0.02
CHO_HOAN_TIEN,0.015
DA_HOAN_TIEN,0.015
DOI_HANG_DANG_XU_LY,0.012
DA_HUY,0.01
TAM_GIU,0.01
KIEM_TRA_GIAN_LAN,0.008
