product,weight
Tiểu thuyết,1.0
Sách phi hư cấu,1.0
Sách thiếu nhi,0.9
Sách nấu ăn,0.8
Sách khoa học,0.8
Hồi ký,0.9
Truyện trinh thám,0.9
Truyện ngôn tình,0.8
Truyện giả tưởng,0.9
Sách kỹ năng sống,0.9
Giáo trình,0.9
Truyện tranh,0.8
Truyện cười,0.7
Tiểu thuyết tâm lý,0.8
Tập thơ,0.7
Sách lịch sử,0.8
Sách nghệ thuật,0.7
Sách du lịch,0.6
Sách học ngoại ngữ,0.7
Sách kinh doanh,0.8
Sách triết học,0.6
Sách tâm lý học,0.7
Sách hướng dẫn DIY,0.6
Sách nhiếp ảnh,0.6
Sách tâm linh,0.6
Sách nuôi dạy con,0.7
Sổ tay,0.9
Sổ ghi chép,0.9
Sách ôn luyện,0.8
Tự truyện,0.8
