product,weight
Thức ăn cho chó,1.0
Thức ăn cho mèo,1.0
Dây dắt thú cưng,0.9
Giường thú cưng,0.8
Khăn vệ sinh cho mèo,0.9
Sữa tắm thú cưng,0.7
Ba lô vận chuyển thú cưng,0.8
Đồ chơi cho thú cưng,0.9
Vòng cổ cho chó,0.8
Water Bowl,0.8
Food Bowl,0.8
Scratching Post,0.7
Dog Crate,0.7
Cat Treats,0.7
Dog Treats,0.8
Pet Brush,0.7
Chew Toy,0.7
Aquarium,0.6
Bird Cage,0.6
Training Pads,0.6
Flea Collar,0.6
Pet Vitamins,0.6
Hamster Wheel,0.6
Reptile Tank,0.5
Pet Clothes,0.6
Nail Clipper,0.6
Harness,0.8
Feeding Mat,0.6
Poop Bags,0.7
Tick Remover,0.5
