method,weight,min_cost,max_cost
DHL_STANDARD,0.3,4.9,8.9
DHL_PAKET_INTERNATIONAL,0.055,12.5,24.5
DHL_PRIO,0.045,7.5,13.5
HERMES_STANDARD,0.11,4.4,7.9
HERMES_EXPRESS,0.045,9.5,18.0
DPD_PREDICT,0.065,5.1,9.6
GLS_FLEX_DELIVERY,0.055,5.2,9.9
ABENDZUSTELLUNG,0.03,7.9,14.5
PACKSTATION_ABHOLUNG,0.065,0.0,1.0
FILIALABHOLUNG,0.055,0.0,0.0
ABHOLBOX,0.035,0.0,1.0
SPEDITION_MOEBEL,0.038,55.0,190.0
SPEDITION_PREMIUM,0.02,85.0,230.0
KURIER_SAME_DAY,0.02,24.0,52.0
CO2_NEUTRAL,0.04,5.5,10.5
WOCHENENDE_ZUSTELLUNG,0.02,12.0,28.0
KUEHLVERSAND,0.025,9.5,19.0
