method,weight,min_cost,max_cost
COLISSIMO_STANDARD,0.198,5.2,9.8
COLISSIMO_POINT_RELAIS,0.1,3.9,7.2
COLISSIMO_ECO,0.05,3.2,5.5
LA_POSTE_LETTRE_SUIVIE,0.045,2.5,4.8
CHRONOPOST_EXPRESS,0.065,14.5,24.0
CHRONOPOST_SAMEDI,0.02,19.9,34.0
CHRONOPOST_SHOP2SHOP,0.03,4.5,8.0
DHL_EXPRESS_FR,0.03,16.0,29.0
MONDIAL_RELAY,0.084,3.5,6.5
RELAIS_COLIS,0.064,3.4,6.0
UPS_ACCESS_POINT,0.03,4.2,7.8
COURSIER_PARISIEN,0.02,18.0,39.0
LIVRAISON_ECOLOGIQUE,0.04,4.5,8.5
CLICK_AND_COLLECT,0.054,0.0,1.0
DRIVE_RETRAIT,0.03,0.0,0.0
RETRAIT_2H_MAGASIN,0.028,0.0,0.0
FRET_PALETTISE,0.03,55.0,185.0
LIVRAISON_INSTALLATION,0.018,95.0,210.0
LIVRAISON_SOIREE,0.022,7.5,13.5
LIVRAISON_SUR_RDV,0.025,12.0,24.0
LIVRAISON_ULTRA_RAPIDE,0.017,24.0,42.0
