method,weight,min_cost,max_cost
ROYAL_MAIL_48,0.17,3.99,6.95
ROYAL_MAIL_ECO,0.05,2.89,5.2
ROYAL_MAIL_24,0.1,4.95,8.5
ROYAL_MAIL_TRACKED_48,0.055,4.2,7.1
DPD_NEXT_DAY,0.09,6.5,12.5
DPD_SATURDAY,0.03,9.5,18.0
DPD_PREDICT,0.04,5.9,10.5
EVRI_STANDARD,0.08,3.2,5.8
EVRI_NEXT_DAY,0.045,4.9,9.5
EVRI_LOCKER,0.036,3.8,6.2
UPS_ACCESS_POINT_UK,0.035,4.5,8.2
CLICK_AND_COLLECT,0.048,0.0,1.0
CURBSIDE_PICKUP,0.03,0.0,2.0
LOCKER_PICKUP,0.035,0.0,2.0
SAME_DAY_COURIER,0.02,19.0,42.0
EVENING_DELIVERY,0.025,7.0,13.0
FREIGHT_LORRY,0.025,60.0,210.0
WHITE_GLOVE_INSTALL,0.017,110.0,240.0
GREEN_BIKE_COURIER,0.04,5.0,9.0
SCOTTISH_HIGHLANDS,0.017,11.0,24.0
ISLE_OF_WIGHT_FERRY,0.012,12.0,26.0
