method,weight,min_cost,max_cost
STANDARD_GROUND,0.29,5.49,11.99
ECONOMY_POST,0.055,3.95,9.5
EXPEDITED_GROUND,0.07,9.5,16.5
EXPRESS_AIR,0.075,14.75,24.5
TWO_DAY,0.09,18.0,32.0
OVERNIGHT,0.05,26.0,55.0
SAME_DAY_COURIER,0.025,29.95,64.95
STORE_PICKUP,0.065,0.0,0.0
CURBSIDE_PICKUP,0.045,0.0,2.0
LOCKER_PICKUP,0.05,0.0,1.0
WEEKEND_DELIVERY,0.03,12.0,22.0
FREIGHT_TRUCK,0.035,55.0,220.0
WHITE_GLOVE_DELIVERY,0.02,120.0,240.0
CARBON_NEUTRAL_GROUND,0.045,6.5,13.5
IN_HOME_ASSEMBLY,0.02,95.0,180.0
DRONE_DROP,0.008,12.0,22.0
RURAL_EXPRESS,0.028,15.0,28.0
