group_id,area_code,weight
area_201,201,0.001695
area_202,202,0.001218
area_203,203,0.001324
area_2041,2041,0.000265
area_2043,2043,0.000159
area_2051,2051,0.000212
area_2056,2056,0.000053
area_2058,2058,0.000053
area_2064,2064,0.000159
area_208,208,0.000900
area_209,209,0.000688
area_2102,2102,0.000318
area_2103,2103,0.000159
area_2104,2104,0.000053
area_211,211,0.002065
area_212,212,0.000424
area_2129,2129,0.000053
area_2131,2131,0.000477
area_2133,2133,0.000212
area_214,214,0.000318
area_2150,2150,0.000159
area_2151,2151,0.000636
area_2152,2152,0.000053
area_2153,2153,0.000053
area_2154,2154,0.000053
area_2158,2158,0.000053
area_2161,2161,0.000741
area_2162,2162,0.000212
area_2163,2163,0.000159
area_2165,2165,0.000053
area_2173,2173,0.000106
area_2174,2174,0.000053
area_2175,2175,0.000053
area_2181,2181,0.000159
area_2183,2183,0.000053
area_2191,2191,0.000318
area_2192,2192,0.000053
area_2195,2195,0.000053
area_2196,2196,0.000053
area_2202,2202,0.000318
area_2205,2205,0.000053
area_2206,2206,0.000053
area_2208,2208,0.000053
area_221,221,0.002436
area_2222,2222,0.000053
area_2223,2223,0.000053
area_2224,2224,0.000265
area_2225,2225,0.000053
area_2226,2226,0.000106
area_2232,2232,0.000053
area_2233,2233,0.000053
area_2234,2234,0.000053
area_2235,2235,0.000053
area_2236,2236,0.000053
area_2237,2237,0.000159
area_2238,2238,0.000053
area_2241,2241,0.000265
area_2242,2242,0.000053
area_2243,2243,0.000053
area_2245,2245,0.000053
area_2246,2246,0.000053
area_2247,2247,0.000053
area_2251,2251,0.000106
area_2252,2252,0.000053
area_2253,2253,0.000053
area_2254,2254,0.000053
area_2261,2261,0.000212
area_2262,2262,0.000053
area_2263,2263,0.000053
area_2264,2264,0.000053
area_2266,2266,0.000053
area_2267,2267,0.000053
area_2268,2268,0.000053
area_2271,2271,0.000159
area_2272,2272,0.000053
area_2274,2274,0.000053
area_228,228,0.001006
area_2291,2291,0.000053
area_2292,2292,0.000053
area_2293,2293,0.000053
area_2294,2294,0.000106
area_2295,2295,0.000053
area_2296,2296,0.000053
area_2301,2301,0.000053
area_2302,2302,0.000265
area_2303,2303,0.000159
area_2304,2304,0.000053
area_2305,2305,0.000212
area_2306,2306,0.000159
area_2307,2307,0.000106
area_2309,2309,0.000053
area_231,231,0.001430
area_2323,2323,0.000477
area_2324,2324,0.000159
area_2330,2330,0.000053
area_2331,2331,0.000424
area_2332,2332,0.000053
area_2333,2333,0.000053
area_2335,2335,0.000053
area_2336,2336,0.000053
area_2338,2338,0.000053
area_2339,2339,0.000053
area_234,234,0.000953
area_2351,2351,0.000265
area_2352,2352,0.000106
area_2353,2353,0.000053
area_2354,2354,0.000053
area_2355,2355,0.000053
area_2357,2357,0.000053
area_2359,2359,0.000053
area_2361,2361,0.000265
area_2362,2362,0.000159
area_2363,2363,0.000053
area_2364,2364,0.000053
area_2365,2365,0.000159
area_2366,2366,0.000106
area_2368,2368,0.000053
area_2371,2371,0.000265
area_2372,2372,0.000053
area_2373,2373,0.000212
area_2375,2375,0.000053
area_2377,2377,0.000053
area_2381,2381,0.000424
area_2382,2382,0.000106
area_2383,2383,0.000053
area_2384,2384,0.000053
area_2389,2389,0.000053
area_2391,2391,0.000053
area_2392,2392,0.000106
area_2401,2401,0.000053
area_2402,2402,0.000159
area_2403,2403,0.000053
area_2404,2404,0.000053
area_2405,2405,0.000053
area_2406,2406,0.000053
area_241,241,0.000530
area_2421,2421,0.000265
area_2422,2422,0.000053
area_2423,2423,0.000053
area_2424,2424,0.000053
area_2426,2426,0.000053
area_2427,2427,0.000053
area_2428,2428,0.000053
area_2429,2429,0.000053
area_2431,2431,0.000053
area_2432,2432,0.000053
area_2433,2433,0.000053
area_2434,2434,0.000053
area_2441,2441,0.000053
area_2443,2443,0.000053
area_2445,2445,0.000053
area_2446,2446,0.000053
area_2447,2447,0.000053
area_2449,2449,0.000053
area_2451,2451,0.000106
area_2452,2452,0.000053
area_2454,2454,0.000053
area_2455,2455,0.000053
area_2456,2456,0.000053
area_2461,2461,0.000053
area_2462,2462,0.000053
area_2463,2463,0.000053
area_2464,2464,0.000053
area_2465,2465,0.000053
area_2471,2471,0.000053
area_2472,2472,0.000053
area_2473,2473,0.000053
area_2482,2482,0.000053
area_2486,2486,0.000053
area_2502,2502,0.000053
area_2504,2504,0.000053
area_2505,2505,0.000053
area_2507,2507,0.000053
area_2508,2508,0.000053
area_251,251,0.000688
area_2521,2521,0.000053
area_2522,2522,0.000053
area_2523,2523,0.000053
area_2524,2524,0.000053
area_2526,2526,0.000053
area_2532,2532,0.000053
area_2541,2541,0.000053
area_2542,2542,0.000053
area_2543,2543,0.000053
area_2547,2547,0.000053
area_2551,2551,0.000053
area_2553,2553,0.000053
area_2554,2554,0.000053
area_2555,2555,0.000053
area_2556,2556,0.000053
area_2557,2557,0.000053
area_2558,2558,0.000053
area_2561,2561,0.000053
area_2562,2562,0.000053
area_2563,2563,0.000053
area_2564,2564,0.000053
area_2566,2566,0.000053
area_2568,2568,0.000053
area_2571,2571,0.000053
area_2572,2572,0.000053
area_2573,2573,0.000053
area_2574,2574,0.000053
area_2581,2581,0.000053
area_2582,2582,0.000053
area_2583,2583,0.000053
area_2586,2586,0.000053
area_2591,2591,0.000053
area_2592,2592,0.000053
area_2593,2593,0.000053
area_2594,2594,0.000053
area_2595,2595,0.000053
area_2596,2596,0.000053
area_2597,2597,0.000053
area_2601,2601,0.000371
area_2602,2602,0.001006
area_2603,2603,0.000636
area_2604,2604,0.000847
area_2605,2605,0.000847
area_2606,2606,0.000053
area_2607,2607,0.000318
area_2608,2608,0.000159
area_261,261,0.000847
area_2620,2620,0.000212
area_2621,2621,0.000053
area_2622,2622,0.000106
area_2623,2623,0.000371
area_2624,2624,0.000371
area_2625,2625,0.000318
area_2626,2626,0.000953
area_2627,2627,0.000106
area_2628,2628,0.000265
area_2630,2630,0.000159
area_2631,2631,0.000212
area_2632,2632,0.000212
area_2633,2633,0.000159
area_2634,2634,0.000477
area_2635,2635,0.000159
area_2636,2636,0.000424
area_2637,2637,0.000106
area_2638,2638,0.000794
area_2639,2639,0.000212
area_2641,2641,0.000159
area_2642,2642,0.000159
area_2643,2643,0.000530
area_2644,2644,0.000371
area_2645,2645,0.000212
area_2646,2646,0.000212
area_2647,2647,0.000106
area_2651,2651,0.000477
area_2652,2652,0.000265
area_2653,2653,0.001165
area_2654,2654,0.000530
area_2655,2655,0.000636
area_2656,2656,0.000900
area_2657,2657,0.000636
area_2661,2661,0.001377
area_2662,2662,0.000794
area_2663,2663,0.000900
area_2664,2664,0.000847
area_2666,2666,0.000636
area_2667,2667,0.000371
area_2671,2671,0.000424
area_2672,2672,0.000794
area_2673,2673,0.000371
area_2674,2674,0.000159
area_2675,2675,0.000159
area_2676,2676,0.000265
area_2677,2677,0.000424
area_2678,2678,0.000212
area_2680,2680,0.000477
area_2681,2681,0.001271
area_2682,2682,0.000794
area_2683,2683,0.000265
area_2684,2684,0.001006
area_2685,2685,0.000900
area_2686,2686,0.000688
area_2687,2687,0.000530
area_2688,2688,0.000688
area_2689,2689,0.000371
area_2691,2691,0.000900
area_2692,2692,0.001165
area_2693,2693,0.000424
area_2694,2694,0.000212
area_2695,2695,0.000318
area_2696,2696,0.000318
area_271,271,0.000265
area_2721,2721,0.000106
area_2722,2722,0.000053
area_2723,2723,0.000053
area_2732,2732,0.000053
area_2733,2733,0.000053
area_2734,2734,0.000106
area_2735,2735,0.000053
area_2736,2736,0.000053
area_2738,2738,0.000053
area_2739,2739,0.000053
area_2741,2741,0.000530
area_2742,2742,0.000741
area_2743,2743,0.000371
area_2744,2744,0.000053
area_2745,2745,0.000106
area_2747,2747,0.000636
area_2751,2751,0.000053
area_2752,2752,0.000053
area_2753,2753,0.000053
area_2761,2761,0.000106
area_2762,2762,0.000053
area_2770,2770,0.000053
area_2771,2771,0.000424
area_2772,2772,0.000159
area_2773,2773,0.000053
area_2774,2774,0.000053
area_2775,2775,0.000053
area_2776,2776,0.000053
area_2777,2777,0.000053
area_2778,2778,0.000053
area_2801,2801,0.000053
area_2802,2802,0.000053
area_281,281,0.000159
area_2821,2821,0.000106
area_2822,2822,0.000053
area_2823,2823,0.000053
area_2824,2824,0.000053
area_2825,2825,0.000053
area_2826,2826,0.000053
area_2831,2831,0.000053
area_2832,2832,0.000265
area_2833,2833,0.000053
area_2834,2834,0.000053
area_2835,2835,0.000053
area_2836,2836,0.000053
area_2837,2837,0.000053
area_2838,2838,0.000053
area_2841,2841,0.000212
area_2842,2842,0.000053
area_2843,2843,0.000053
area_2845,2845,0.000106
area_2851,2851,0.000053
area_2852,2852,0.000053
area_2853,2853,0.000053
area_2855,2855,0.000053
area_2858,2858,0.000053
area_2861,2861,0.000053
area_2862,2862,0.000053
area_2863,2863,0.000053
area_2864,2864,0.000053
area_2865,2865,0.000053
area_2867,2867,0.000053
area_2871,2871,0.000159
area_2872,2872,0.000053
area_2874,2874,0.000053
area_2902,2902,0.000053
area_2904,2904,0.000053
area_291,291,0.000053
area_2921,2921,0.000053
area_2922,2922,0.000053
area_2923,2923,0.000053
area_2924,2924,0.000053
area_2927,2927,0.000053
area_2931,2931,0.000265
area_2933,2933,0.000053
area_2938,2938,0.000053
area_2941,2941,0.000212
area_2942,2942,0.000053
area_2943,2943,0.000053
area_2947,2947,0.000053
area_2951,2951,0.000053
area_2952,2952,0.000053
area_2953,2953,0.000053
area_2961,2961,0.000053
area_2962,2962,0.000053
area_2972,2972,0.000053
area_2973,2973,0.000053
area_2981,2981,0.000053
area_2982,2982,0.000053
area_2984,2984,0.000106
area_2992,2992,0.000053
area_30,30,0.010592
area_3301,3301,0.000371
area_3302,3302,0.000212
area_3303,3303,0.000159
area_3304,3304,0.000265
area_33051,33051,0.000159
area_33052,33052,0.000106
area_33053,33053,0.000159
area_33054,33054,0.000212
area_33055,33055,0.000530
area_33056,33056,0.000265
area_3306,3306,0.000318
area_3307,3307,0.000424
area_33080,33080,0.000265
area_33082,33082,0.000265
area_33083,33083,0.000265
area_33084,33084,0.000159
area_33085,33085,0.000159
area_33086,33086,0.000053
area_33087,33087,0.000159
area_33088,33088,0.000106
area_33089,33089,0.000106
area_33093,33093,0.000212
area_33094,33094,0.000212
area_331,331,0.000583
area_33200,33200,0.000265
area_33201,33201,0.000106
area_33202,33202,0.000106
area_33203,33203,0.000053
area_33204,33204,0.000794
area_33205,33205,0.000371
area_33206,33206,0.000106
area_33207,33207,0.000583
area_33208,33208,0.000318
area_33209,33209,0.000159
area_3321,3321,0.000530
area_3322,3322,0.000265
area_33230,33230,0.000424
area_33231,33231,0.000106
area_33232,33232,0.000106
area_33233,33233,0.000424
area_33234,33234,0.000424
area_33235,33235,0.000424
area_33237,33237,0.000424
area_33238,33238,0.000106
area_33239,33239,0.000318
area_3327,3327,0.000583
area_3328,3328,0.000053
area_3329,3329,0.000159
area_3331,3331,0.000371
area_3332,3332,0.000371
area_33331,33331,0.000583
area_33332,33332,0.000212
area_33333,33333,0.000318
area_33334,33334,0.000371
area_33335,33335,0.000318
area_33336,33336,0.000318
area_33337,33337,0.000106
area_33338,33338,0.000318
area_3334,3334,0.000424
area_3335,3335,0.000106
area_33361,33361,0.000212
area_33362,33362,0.000212
area_33363,33363,0.000159
area_33364,33364,0.000212
area_33365,33365,0.000265
area_33366,33366,0.000106
area_33367,33367,0.000053
area_33368,33368,0.000106
area_33369,33369,0.000212
area_3337,3337,0.000318
area_3338,3338,0.000371
area_33393,33393,0.000106
area_33394,33394,0.000106
area_33395,33395,0.000159
area_33396,33396,0.000106
area_33397,33397,0.000265
area_33398,33398,0.000371
area_3341,3341,0.000318
area_3342,3342,0.000318
area_33432,33432,0.000318
area_33433,33433,0.000265
area_33434,33434,0.000265
area_33435,33435,0.000265
area_33436,33436,0.000318
area_33437,33437,0.000212
area_33438,33438,0.000159
area_33439,33439,0.000212
area_3344,3344,0.000106
area_33451,33451,0.000636
area_33452,33452,0.000212
area_33454,33454,0.000106
area_33456,33456,0.000318
area_33457,33457,0.000477
area_33458,33458,0.000212
area_3346,3346,0.000318
area_33470,33470,0.000106
area_33472,33472,0.000212
area_33473,33473,0.000212
area_33474,33474,0.000265
area_33475,33475,0.000265
area_33476,33476,0.000212
area_33477,33477,0.000212
area_33478,33478,0.000212
area_33479,33479,0.000106
area_33601,33601,0.000265
area_33602,33602,0.000477
area_33603,33603,0.000053
area_33604,33604,0.000053
area_33606,33606,0.000053
area_33607,33607,0.000159
area_33608,33608,0.000265
area_33609,33609,0.000106
area_3361,3361,0.000212
area_3362,3362,0.000318
area_33631,33631,0.000265
area_33632,33632,0.000106
area_33633,33633,0.000265
area_33634,33634,0.000053
area_33635,33635,0.000159
area_33636,33636,0.000159
area_33637,33637,0.000159
area_33638,33638,0.000159
area_3364,3364,0.000106
area_33652,33652,0.000424
area_33653,33653,0.000159
area_33654,33654,0.000212
area_33655,33655,0.000212
area_33656,33656,0.000265
area_33657,33657,0.000212
area_3366,3366,0.000636
area_33671,33671,0.000583
area_33672,33672,0.000636
area_33673,33673,0.000053
area_33674,33674,0.000212
area_33675,33675,0.000318
area_33676,33676,0.000159
area_33677,33677,0.000424
area_33678,33678,0.000741
area_33679,33679,0.000106
area_33701,33701,0.000265
area_33702,33702,0.000212
area_33703,33703,0.000318
area_33704,33704,0.000530
area_33708,33708,0.000265
area_3371,3371,0.000106
area_3372,3372,0.000530
area_33731,33731,0.000741
area_33741,33741,0.000371
area_33742,33742,0.000159
area_33743,33743,0.000424
area_33744,33744,0.000688
area_33745,33745,0.000318
area_33746,33746,0.000741
area_33747,33747,0.000477
area_33748,33748,0.000688
area_3375,3375,0.000583
area_33760,33760,0.000106
area_33762,33762,0.000371
area_33763,33763,0.000106
area_33764,33764,0.000318
area_33765,33765,0.000424
area_33766,33766,0.000371
area_33767,33767,0.000371
area_33768,33768,0.000212
area_33769,33769,0.000159
area_3377,3377,0.000530
area_3378,3378,0.000530
area_3379,3379,0.000530
area_3381,3381,0.000477
area_3382,3382,0.000424
area_33830,33830,0.000424
area_33831,33831,0.000159
area_33832,33832,0.000106
area_33833,33833,0.000318
area_33834,33834,0.000318
area_33835,33835,0.000636
area_33836,33836,0.000265
area_33837,33837,0.000106
area_33838,33838,0.000212
area_33839,33839,0.000318
area_33841,33841,0.000636
area_33843,33843,0.000847
area_33844,33844,0.000371
area_33845,33845,0.000159
area_33846,33846,0.000371
area_33847,33847,0.000530
area_33848,33848,0.000371
area_33849,33849,0.000900
area_3385,3385,0.000106
area_3386,3386,0.000371
area_33870,33870,0.000159
area_33872,33872,0.000318
area_33873,33873,0.000106
area_33874,33874,0.000265
area_33875,33875,0.000583
area_33876,33876,0.000212
area_33877,33877,0.000318
area_33878,33878,0.000318
area_3391,3391,0.001059
area_33920,33920,0.000318
area_33921,33921,0.000159
area_33922,33922,0.000424
area_33923,33923,0.000424
area_33924,33924,0.000318
area_33925,33925,0.000371
area_33926,33926,0.000106
area_33927,33927,0.000106
area_33928,33928,0.000371
area_33929,33929,0.000371
area_33931,33931,0.000265
area_33932,33932,0.000371
area_33933,33933,0.000583
area_3394,3394,0.000583
area_3395,3395,0.001430
area_33962,33962,0.000212
area_33963,33963,0.000106
area_33964,33964,0.000159
area_33965,33965,0.000159
area_33966,33966,0.000212
area_33967,33967,0.000106
area_33968,33968,0.000265
area_33969,33969,0.000159
area_33970,33970,0.000265
area_33971,33971,0.000265
area_33972,33972,0.000212
area_33973,33973,0.000371
area_33974,33974,0.000318
area_33975,33975,0.000212
area_33976,33976,0.000265
area_33977,33977,0.000530
area_33978,33978,0.000159
area_33979,33979,0.000265
area_33981,33981,0.000159
area_33982,33982,0.000265
area_33983,33983,0.000318
area_33984,33984,0.000371
area_33986,33986,0.000636
area_33989,33989,0.000424
area_340,340,0.000265
area_341,341,0.002065
area_34202,34202,0.000318
area_34203,34203,0.000053
area_34204,34204,0.000159
area_34205,34205,0.000106
area_34206,34206,0.000106
area_34207,34207,0.000053
area_34208,34208,0.000159
area_3421,3421,0.000424
area_34221,34221,0.000106
area_34222,34222,0.000053
area_34223,34223,0.000212
area_34224,34224,0.000053
area_3423,3423,0.000212
area_34241,34241,0.000053
area_34242,34242,0.000053
area_34243,34243,0.000530
area_34244,34244,0.000477
area_3425,3425,0.000530
area_34261,34261,0.000053
area_34262,34262,0.000318
area_34263,34263,0.000053
area_34291,34291,0.000053
area_34292,34292,0.000318
area_34293,34293,0.000106
area_34294,34294,0.000053
area_34295,34295,0.000106
area_34296,34296,0.000212
area_34297,34297,0.000106
area_34298,34298,0.000053
area_3431,3431,0.000265
area_34321,34321,0.000106
area_34322,34322,0.000159
area_34324,34324,0.000159
area_34325,34325,0.000794
area_34327,34327,0.000106
area_34328,34328,0.000106
area_3433,3433,0.000265
area_34341,34341,0.000265
area_34342,34342,0.000106
area_34343,34343,0.000265
area_34344,34344,0.000053
area_34345,34345,0.000371
area_34346,34346,0.000265
area_34347,34347,0.000106
area_34348,34348,0.000053
area_3435,3435,0.000106
area_34361,34361,0.000053
area_34362,34362,0.000212
area_34363,34363,0.000053
area_34364,34364,0.000053
area_3437,3437,0.000318
area_34381,34381,0.000741
area_34382,34382,0.000053
area_34383,34383,0.000212
area_34384,34384,0.000053
area_34385,34385,0.000159
area_34386,34386,0.000741
area_3441,3441,0.000636
area_34422,34422,0.000318
area_34423,34423,0.000265
area_34424,34424,0.000583
area_34425,34425,0.000318
area_34426,34426,0.000106
area_3443,3443,0.000636
area_34441,34441,0.000371
area_34443,34443,0.000477
area_34444,34444,0.000212
area_34445,34445,0.000318
area_34446,34446,0.000265
area_3445,3445,0.000371
area_34461,34461,0.000424
area_34462,34462,0.000318
area_34463,34463,0.000318
area_34464,34464,0.000371
area_34465,34465,0.000371
area_34466,34466,0.000265
area_34467,34467,0.000371
area_3447,3447,0.000265
area_3448,3448,0.000212
area_34491,34491,0.000159
area_34492,34492,0.000053
area_34493,34493,0.000106
area_34494,34494,0.000106
area_34495,34495,0.000318
area_34496,34496,0.000318
area_34497,34497,0.000159
area_34498,34498,0.000318
area_345,345,0.001801
area_34600,34600,0.000212
area_34601,34601,0.000318
area_34602,34602,0.000424
area_34603,34603,0.000265
area_34604,34604,0.000212
area_34605,34605,0.000159
area_34606,34606,0.000265
area_34607,34607,0.000318
area_34609,34609,0.000265
area_3461,3461,0.000688
area_3462,3462,0.000265
area_34632,34632,0.000265
area_34633,34633,0.000212
area_34635,34635,0.000212
area_34636,34636,0.000318
area_34637,34637,0.000053
area_34638,34638,0.000265
area_34639,34639,0.000053
area_3464,3464,0.000794
area_34651,34651,0.000477
area_34652,34652,0.000371
area_34653,34653,0.000159
area_34654,34654,0.000106
area_34656,34656,0.000371
area_34658,34658,0.000424
area_34659,34659,0.000212
area_3466,3466,0.000741
area_34671,34671,0.000477
area_34672,34672,0.000424
area_34673,34673,0.000477
area_34691,34691,0.000583
area_34692,34692,0.000318
area_3471,3471,0.000424
area_34721,34721,0.000265
area_34722,34722,0.000159
area_3473,3473,0.000424
area_34741,34741,0.000371
area_34742,34742,0.000265
area_34743,34743,0.000159
area_34745,34745,0.000053
area_34746,34746,0.000159
area_3475,3475,0.000583
area_3476,3476,0.000318
area_34771,34771,0.000477
area_34772,34772,0.000371
area_34773,34773,0.000265
area_34774,34774,0.000424
area_34775,34775,0.000265
area_34776,34776,0.000212
area_34779,34779,0.000159
area_34781,34781,0.000212
area_34782,34782,0.000371
area_34783,34783,0.000424
area_34785,34785,0.000212
area_34901,34901,0.000318
area_34903,34903,0.000424
area_34904,34904,0.000318
area_34905,34905,0.000318
area_34906,34906,0.000318
area_34907,34907,0.000424
area_34909,34909,0.000212
area_3491,3491,0.000318
area_34920,34920,0.000053
area_34921,34921,0.000265
area_34922,34922,0.000159
area_34923,34923,0.000106
area_34924,34924,0.000212
area_34925,34925,0.000159
area_34926,34926,0.000159
area_34927,34927,0.000318
area_34928,34928,0.000159
area_34929,34929,0.000265
area_3493,3493,0.000424
area_3494,3494,0.000424
area_34953,34953,0.000212
area_34954,34954,0.000371
area_34955,34955,0.000371
area_34956,34956,0.000424
area_3496,3496,0.000636
