group_id,area_code,weight
area_201,201,0.002233
area_202,202,0.006294
area_203,203,0.004038
area_205,205,0.005653
area_206,206,0.001544
area_207,207,0.011994
area_208,208,0.007838
area_209,209,0.003729
area_210,210,0.002375
area_212,212,0.003824
area_213,213,0.000974
area_214,214,0.002731
area_215,215,0.004441
area_216,216,0.001235
area_217,217,0.008954
area_218,218,0.007576
area_219,219,0.007291
area_225,225,0.002826
area_228,228,0.000879
area_248,248,0.002043
area_252,252,0.005225
area_253,253,0.001995
area_254,254,0.004156
area_256,256,0.005605
area_281,281,0.002636
area_301,301,0.006674
area_302,302,0.002328
area_303,303,0.005083
area_304,304,0.022088
area_305,305,0.003301
area_307,307,0.004679
area_308,308,0.004774
area_309,309,0.005914
area_310,310,0.002470
area_312,312,0.000998
area_313,313,0.001734
area_314,314,0.003729
area_315,315,0.008455
area_316,316,0.008194
area_317,317,0.002660
area_318,318,0.009619
area_319,319,0.008218
area_320,320,0.004133
area_323,323,0.001188
area_330,330,0.006151
area_334,334,0.008859
area_336,336,0.004893
area_340,340,0.000380
area_352,352,0.003919
area_360,360,0.005890
area_401,401,0.002161
area_402,402,0.010165
area_404,404,0.002755
area_405,405,0.004679
area_406,406,0.009762
area_407,407,0.004228
area_408,408,0.002328
area_409,409,0.007054
area_410,410,0.008004
area_412,412,0.002803
area_413,413,0.003634
area_414,414,0.003753
area_415,415,0.002589
area_417,417,0.006009
area_419,419,0.007434
area_423,423,0.006413
area_425,425,0.001211
area_435,435,0.005201
area_440,440,0.001876
area_501,501,0.006603
area_502,502,0.010237
area_503,503,0.004536
area_504,504,0.004916
area_505,505,0.010094
area_507,507,0.006009
area_508,508,0.005843
area_509,509,0.006389
area_510,510,0.001971
area_512,512,0.006935
area_513,513,0.003183
area_515,515,0.010783
area_516,516,0.005415
area_517,517,0.008028
area_518,518,0.009215
area_520,520,0.007790
area_530,530,0.006460
area_540,540,0.011709
area_541,541,0.007006
area_559,559,0.003753
area_561,561,0.002898
area_562,562,0.001734
area_573,573,0.008503
area_580,580,0.007291
area_601,601,0.011828
area_602,602,0.004275
area_603,603,0.006698
area_605,605,0.009904
area_606,606,0.013847
area_607,607,0.005201
area_608,608,0.005368
area_609,609,0.005914
area_610,610,0.007101
area_612,612,0.004679
area_614,614,0.001710
area_615,615,0.003373
area_616,616,0.008051
area_617,617,0.002826
area_618,618,0.008218
area_619,619,0.003396
area_626,626,0.002209
area_630,630,0.001948
area_650,650,0.001710
area_651,651,0.002161
area_660,660,0.005605
area_671,671,0.000499
area_701,701,0.009904
area_702,702,0.005035
area_703,703,0.004346
area_704,704,0.004441
area_706,706,0.005890
area_707,707,0.003871
area_708,708,0.001829
area_712,712,0.006484
area_713,713,0.004109
area_714,714,0.002138
area_715,715,0.007838
area_716,716,0.008693
area_717,717,0.017409
area_718,718,0.004133
area_719,719,0.004988
area_724,724,0.009738
area_727,727,0.002043
area_732,732,0.003064
area_734,734,0.001473
area_740,740,0.008218
area_757,757,0.004465
area_760,760,0.003966
area_765,765,0.005463
area_770,770,0.005130
area_773,773,0.000950
area_781,781,0.002565
area_785,785,0.008004
area_787,787,0.004156
area_801,801,0.003135
area_802,802,0.007315
area_803,803,0.004821
area_804,804,0.009405
area_805,805,0.004988
area_806,806,0.005225
area_808,808,0.003396
area_810,810,0.003040
area_812,812,0.007980
area_813,813,0.002328
area_814,814,0.011305
area_815,815,0.006555
area_816,816,0.004418
area_817,817,0.002613
area_818,818,0.002969
area_828,828,0.003800
area_830,830,0.003016
area_831,831,0.001425
area_843,843,0.004228
area_847,847,0.002423
area_850,850,0.004228
area_860,860,0.006294
area_864,864,0.003681
area_870,870,0.010474
area_901,901,0.005653
area_903,903,0.006151
area_904,904,0.004180
area_906,906,0.003396
area_907,907,0.006389
area_908,908,0.002328
area_909,909,0.003681
area_910,910,0.004228
area_912,912,0.009358
area_913,913,0.002138
area_914,914,0.008194
area_915,915,0.009073
area_916,916,0.003586
area_918,918,0.006531
area_919,919,0.003135
area_920,920,0.004679
area_925,925,0.000926
area_931,931,0.003705
area_937,937,0.005106
area_940,940,0.002423
area_941,941,0.005154
area_949,949,0.001140
area_954,954,0.002066
area_956,956,0.001805
area_970,970,0.005439
area_972,972,0.003111
area_973,973,0.003895
area_978,978,0.002826
