group_id,product_code,weight
coverage_auto,AUTO,0.100000
coverage_auto,AUTO,0.075000
coverage_auto,AUTO,0.050000
coverage_auto,AUTO,0.025000
coverage_home,HOME,0.087500
coverage_home,HOME,0.087500
coverage_home,HOME,0.050000
coverage_home,HOME,0.025000
coverage_other,HLTH,0.075000
coverage_other,HLTH,0.075000
coverage_other,HLTH,0.050000
coverage_other,HLTH,0.025000
coverage_other,HLTH,0.025000
coverage_other,LIFE,0.100000
coverage_other,LIFE,0.075000
coverage_other,LIFE,0.050000
coverage_other,LIFE,0.025000
