Age 18 years or older, 200
Age between 18 and 65 years, 180
Age between 18 and 75 years, 160
Diagnosis of the condition under study confirmed by a physician, 190
Able to provide written informed consent, 200
Willing to comply with all study procedures, 190
Able to attend all scheduled visits, 180
Body Mass Index (BMI) between 18.5 and 30 kg/m², 150
Body Mass Index (BMI) between 18.5 and 35 kg/m², 140
Normal kidney function, 130
Normal liver function, 130
Normal cardiac function, 120
Adequate bone marrow function, 110
Adequate renal function, 110
Adequate hepatic function, 110
Negative pregnancy test for women of childbearing potential, 150
Willing to use effective contraception during the study, 140
Stable on current medication regimen for at least 4 weeks, 130
No major surgery within 8 weeks prior to enrollment, 120
No participation in another clinical trial within 30 days, 150
No history of allergic reactions to similar compounds, 140
No significant medical history that could interfere with the study, 130
No active infection requiring treatment, 120
No history of substance abuse within the past year, 110
No psychiatric conditions that could interfere with the study, 100
Life expectancy of at least 3 months, 90
Life expectancy of at least 6 months, 90
Life expectancy of at least 12 months, 80
Eastern Cooperative Oncology Group (ECOG) performance status of 0-1, 100
Eastern Cooperative Oncology Group (ECOG) performance status of 0-2, 90
Karnofsky Performance Status (KPS) score ≥ 70%, 80
Measurable disease according to RECIST criteria, 70
Documented disease progression on prior therapy, 60
Completed prior therapy at least 4 weeks before enrollment, 70
Recovered from toxicities of prior therapies, 60
Willing to undergo required biopsies, 50
Willing to provide blood samples for research, 80
Willing to complete quality of life questionnaires, 70
Able to swallow and retain oral medication, 90
No contraindications to MRI or CT scans, 80 
