condition,age_min,age_max,weight_multiplier
Allergien,0,17,3.0
Neurodermitis,0,17,2.5
ADHS,6,25,3.5
Autismus-Spektrum-Störung,0,25,3.2
Angeborene Herzfehler,0,12,4.0
Typ-1-Diabetes,0,29,2.5
Typ-1-Diabetes,30,120,0.4
Epilepsie,0,30,2.0
Infantile Zerebralparese,0,18,3.5
Reizdarmsyndrom,18,45,1.8
Morbus Fabry,0,120,1.1
Hypertonie,40,120,1.5
Hypertonie,0,39,0.2
Osteoporose,60,120,1.6
COPD,50,120,1.7
Schlafapnoe,40,120,1.4
Migräne,15,50,1.3
Adipositas,30,120,1.2
Koronare Herzkrankheit,55,120,1.6
Herzinsuffizienz,60,120,1.7
