condition,age_min,age_max,weight_multiplier
Dị ứng,0,17,3.0
Chàm da,0,17,2.5
Tăng động giảm chú ý (ADHD),6,25,3.5
Rối loạn phổ tự kỷ,0,25,3.2
Tim bẩm sinh,0,12,4.0
Đái tháo đường tuýp 1,0,29,2.5
Đái tháo đường tuýp 1,30,120,0.4
Động kinh,0,30,2.0
Bại não,0,18,3.5
Hội chứng ruột kích thích,18,45,1.8
Bệnh Fabry,0,120,1.1
Tăng huyết áp,40,120,1.5
Tăng huyết áp,0,39,0.2
Loãng xương,60,120,1.6
Bệnh phổi tắc nghẽn mạn tính (COPD),50,120,1.7
Ngưng thở khi ngủ,40,120,1.4
Đau nửa đầu,15,50,1.3
Béo phì,30,120,1.2
Bệnh mạch vành,55,120,1.6
Suy tim,60,120,1.7
