Blue Cross Blue Shield, 150
UnitedHealthcare, 140
Aetna, 120
Cigna, 110
Humana, 100
Kaiser Permanente, 90
Medicare, 180
Medicaid, 160
Anthem, 80
Centene, 70
Molina Healthcare, 60
WellCare, 50
Health Net, 40
CVS Health, 30
Tricare, 70
AmeriHealth, 40
Highmark, 50
Carefirst, 40
Harvard Pilgrim, 30
Tufts Health Plan, 30
Emblem Health, 40
Oscar Health, 30
Geisinger Health Plan, 20
Priority Health, 20
Independence Blue Cross, 40
Premera Blue Cross, 30
Regence Blue Shield, 30
Horizon Blue Cross Blue Shield, 40
Uninsured, 50
Self-Pay, 40 
