name,dosage,frequency,route,weight
Lisinopril Stada,10 mg,Ngày 1 lần,Uống,180
Amlodipine Davipharm,5 mg,Ngày 1 lần,Uống,170
Metformin Hasomed,500 mg,Ngày 2 lần,Uống,160
Losartan Vidipha,50 mg,Ngày 1 lần,Uống,150
Atorvastatin Imexpharm,20 mg,Ngày 1 lần,Uống,140
Omeprazole Mekophar,20 mg,Ngày 1 lần,Uống,130
Levothyroxine Euthyrox,50 mcg,Ngày 1 lần,Uống,120
Clopidogrel Sanofi,75 mg,Ngày 1 lần,Uống,110
Bisoprolol Mekovet,5 mg,Ngày 1 lần,Uống,100
Insulin Glargine,10 đơn vị,Tiêm buổi tối,Tiêm dưới da,90
Paracetamol Hapacol,500 mg,Ngày 3 lần,Uống,130
