Notaufnahme,150
Operationssaal,130
Intensivstation,140
Kardiologie,100
Radiologie,120
Neurologie,80
Onkologie,90
Pädiatrie,110
Gynäkologie und Geburtshilfe,100
Orthopädie,110
Allgemeinstation,160
Labor,130
Apotheke,120
Ambulanz,170
Physiotherapie,100
Lager,80
Medizintechnik,60
Rettungswagen,70
Mobile Klinik,50
Patientenzimmer,180
Traumazentrum,120
Neugeborenen-Intensivstation,90
Herzkatheterlabor,80
Endoskopie,70
Dialysezentrum,60
Verbrennungsstation,40
Psychiatrische Station,50
Rehabilitationszentrum,90
Tagesklinik,80
Bereitschaftspraxis,110 
