Bitte vor der Haustür abstellen,0.08
Bitte vor der Zustellung anrufen,0.06
Bei Ankunft bitte kurz anrufen,0.04
Paket hinter dem Blumentopf auf der Veranda abstellen,0.05
Bitte bei der Hausverwaltung im Foyer abgeben,0.05
Unterschrift bei Übergabe erforderlich,0.03
Vor dem Versand Kund:in kontaktieren,0.03
Grußkarte bitte beilegen,0.04
Geschenk - bitte ohne Rechnung versenden,0.04
Zerbrechlich - vorsichtig behandeln,0.05
Lieferung nach 17 Uhr bevorzugt,0.04
Bitte an der Klingel läuten,0.03
Seiteneingang nutzen; Haustür wird renoviert,0.02
Nach Möglichkeit mit Bestellung #4821 zusammen versenden,0.01
Falls niemand öffnet bitte in der Paketstation hinterlegen,0.03
Bitte klingeln damit der Aufzug freigeschaltet wird,0.02
Nicht in direktes Sonnenlicht legen,0.02
Zugangscode 1234 für die Hofeinfahrt,0.03
Enthält verderbliche Ware - bei Aufbewahrung kühlen,0.02
Elektronik doppelt verpacken um Schäden zu vermeiden,0.015
Geschenkpapier mit Markenlogo verwenden,0.01
Handelsrechnung außen am Paket anbringen,0.01
Bei Abwesenheit bitte bei Nachbarin Wohnung 2B abgeben,0.02
Kund:in übergibt Rücksendelabel bei Abholung,0.005
Bitte nicht anrufen - Baby schläft,0.015
Leise klopfen und warten; Patient in Behandlung,0.008
Pakete flach lagern; enthält Schallplatten,0.01
Nur komplett liefern wenn alle Positionen verfügbar,0.012
Als Geschenk markieren und Preise auf dem Lieferschein ausblenden,0.025
Kühlakku beilegen wenn Versand länger als zwei Tage dauert,0.007
Bitte erst nachmittags klingeln,0.02
Lieferung an Packstation 123,0.02
Bitte an Fahrradkeller-Tür stellen,0.02
Kühlware, bitte direkt anrufen,0.02
Nachbarn im 2. Stock informieren,0.02
Bei Regen bitte in Folie wickeln,0.02
