status,weight
PENDIENTE_VALIDACION,0.055
PENDIENTE_PAGO,0.05
PAGO_CONFIRMADO,0.085
PREPARANDO_PEDIDO,0.105
CONTROL_CALIDAD,0.04
EMBALAJE_EN_CURSO,0.055
EN_ESPERA_RECOGIDA,0.05
ENVIADO,0.08
EN_TRANSITO,0.07
EN_DELEGACION_LOCAL,0.035
EN_PUNTO_RECOGIDA,0.04
ENTREGA_PROGRAMADA,0.04
EN_REPARTO,0.065
ENTREGADO,0.065
LISTO_RECOGIDA_TIENDA,0.025
RETRASO_TRANSPORTISTA,0.017
RETRASO_METEOROLOGICO,0.011
ENVIO_PARCIAL,0.024
ANULACION_SOLICITADA,0.015
ANULACION_CONFIRMADA,0.01
DEVOLUCION_SOLICITADA,0.018
DEVOLUCION_EN_CAMINO,0.014
DEVOLUCION_RECIBIDA,0.012
REEMBOLSO_EMITIDO,0.011
SEGUIMIENTO_ATENCION_CLIENTE,0.008
