status,weight
EN_ATTENTE_VALIDATION,0.055
EN_ATTENTE_PAIEMENT,0.05
PAIEMENT_CONFIRME,0.085
PREPARATION_COMMANDE,0.105
CONTROLE_QUALITE,0.04
EMBALLAGE_EN_COURS,0.055
EN_ATTENTE_EXPEDITION,0.05
EXPEDIE,0.085
EN_TRANSIT,0.075
DISTRIBUTION_RELAIS,0.03
EN_POINT_RELAIS,0.04
LIVRAISON_PROGRAMMEE,0.04
EN_COURS_DE_LIVRAISON,0.065
LIVRE,0.07
MISE_A_DISPOSITION_MAGASIN,0.025
RETARD_TRANSPORTEUR,0.017
RETARD_METEO,0.011
PARTIELLEMENT_EXPEDIE,0.024
ANNULATION_DEMANDEE,0.015
ANNULATION_CONFIRMEE,0.01
RETOUR_SOLLICITE,0.018
RETOUR_RECU,0.014
REMBOURSEMENT_EFFECTUE,0.012
SUIVI_SERVICE_CLIENT,0.009
