status,weight
AWAITING_CONFIRMATION,0.06
AWAITING_PAYMENT,0.05
PAYMENT_CONFIRMED,0.09
PICKING_IN_PROGRESS,0.11
QUALITY_CHECK,0.045
PACKING_ORDER,0.06
AWAITING_COURIER,0.055
DISPATCHED,0.085
IN_TRANSIT,0.08
AT_LOCAL_DEPOT,0.045
OUT_FOR_DELIVERY,0.07
DELIVERED,0.075
CLICK_AND_COLLECT_READY,0.03
DELAYED_WEATHER,0.012
DELAYED_CARRIER,0.018
PARTIALLY_DISPATCHED,0.025
CUSTOMER_CANCEL_REQUEST,0.015
ORDER_CANCELLED,0.012
RETURN_REQUESTED,0.018
RETURN_IN_TRANSIT,0.014
RETURN_RECEIVED,0.013
REFUND_ISSUED,0.011
CUSTOMER_SERVICE_REVIEW,0.007
