tag,weight
superventas,0.085
novedad_destacada,0.075
edicion_limitada,0.065
imprescindible_temporada,0.06
favorito_online,0.055
recomendado_por_expertos,0.05
envio_rapido_24h,0.05
hecho_en_espana,0.05
opcion_eco,0.04
pack_ahorro,0.045
exclusivo_web,0.045
visto_en_redes,0.05
ultimas_unidades,0.035
ideal_para_regalar,0.035
seleccion_premium,0.035
reposicion_reciente,0.03
sin_plastico,0.025
coleccion_fiesta,0.025
familia_favorita,0.025
devolucion_gratis,0.02
vegano,0.03
sin_gluten,0.025
edicion_coleccionista,0.02
hecho_a_mano,0.025
