product,weight
Điện thoại thông minh,1.0
Máy tính xách tay,1.0
Máy tính bảng,0.9
Tai nghe,0.9
Máy ảnh,0.8
TV thông minh,0.8
Loa Bluetooth,0.9
Đồng hồ thông minh,0.7
Bộ phát Wi-Fi,0.6
Drone,0.5
Gaming Console,0.7
Keyboard,0.8
Mouse,0.8
Monitor,0.8
Printer,0.7
Scanner,0.6
Microphone,0.7
Charger,0.9
Power Bank,0.8
USB Drive,0.8
External Hard Drive,0.7
Smart Home Hub,0.6
Bluetooth Earbuds,0.9
Virtual Reality Headset,0.5
Security Camera,0.6
Projector,0.5
E-reader,0.6
Fitness Tracker,0.7
Smart Thermostat,0.5
Wireless Mouse,0.8
