product,weight
Vitamin tổng hợp,1.0
Thực phẩm chức năng,1.0
Túi sơ cứu,0.9
Nhiệt kế điện tử,0.8
Máy đo huyết áp,0.8
Thuốc giảm đau,0.9
Nước rửa tay khô,0.9
Khẩu trang y tế,0.8
Bàn chải đánh răng,1.0
Toothpaste,1.0
Mouthwash,0.8
Floss,0.7
Deodorant,0.8
Shaving Cream,0.7
Razor,0.9
Bandages,0.8
Antiseptic,0.8
Eye Drops,0.7
Cough Syrup,0.8
Allergy Medicine,0.8
Inhaler,0.7
Cold Pack,0.6
Heating Pad,0.7
Foot Cream,0.6
Lotion,0.8
Dietary Fiber,0.6
Omega-3,0.7
Probiotics,0.8
Sleep Aid,0.7
Medical Gloves,0.6
