product,weight
Mô hình siêu anh hùng,1.0
Búp bê,1.0
Trò chơi ghép hình,0.9
Board game,1.0
Ô tô đồ chơi,0.9
Bộ xếp hình,0.9
Thú nhồi bông,1.0
Trò chơi yo-yo,0.6
Diều giấy,0.7
Lego Set,1.0
Toy Train,0.8
Rubik’s Cube,0.7
Remote Control Car,0.8
Toy Drone,0.8
Play-Doh,0.7
Marbles,0.6
Slinky,0.6
Finger Puppets,0.5
Water Gun,0.7
Bouncy Ball,0.6
Kids Laptop,0.8
Crayons,0.9
Coloring Book,0.9
Toy Kitchen Set,0.8
Dinosaur Toy,0.8
RC Helicopter,0.7
Stuffed Bear,0.9
Toy Sword,0.6
Bubble Blower,0.7
Mini Piano,0.6
