method,weight,min_cost,max_cost
CORREOS_PAQ_STANDARD,0.21,3.5,6.9
CORREOS_PAQ_PREMIUM,0.085,6.9,11.5
CORREOS_CITYPAQ,0.045,3.0,5.5
SEUR_24H,0.105,7.5,14.0
SEUR_FRIO,0.03,9.5,16.5
SEUR_PICKUP,0.032,4.2,7.2
MRW_ECONOMICO,0.075,5.0,8.5
MRW_URGENTE,0.06,8.0,13.0
NACEX_SHOP,0.05,4.0,6.5
NACEX_24H,0.045,7.5,12.5
GLS_PUNTO_PACK,0.045,3.9,6.1
GLS_72H,0.032,4.5,7.8
RECOGIDA_EN_TIENDA,0.05,0.0,1.0
ENVIO_SOSTENIBLE,0.033,4.2,7.5
ENVIO_INSULAR,0.028,12.0,29.0
PAQUETE_VOLUMINOSO,0.025,19.0,55.0
ENTREGA_PROGRAMADA_SABADO,0.018,8.5,16.0
COURIER_MADRID_2H,0.016,16.0,32.0
SERVICIO_EQUIPO_INSTALACION,0.016,95.0,210.0
