method,weight,min_cost,max_cost
GHN_TIEU_CHUAN,0.28,20000,45000
GHN_NHANH,0.08,45000,75000
GHN_SIEU_TOC,0.04,60000,95000
VIETTEL_POST,0.12,25000,52000
VIETTEL_POST_COOL,0.03,38000,82000
VNPOST_ECONOMY,0.085,18000,40000
VNPOST_EMS,0.05,42000,78000
GRABEXPRESS,0.055,35000,90000
AHA_MOVE_SAME_DAY,0.045,32000,85000
NINJA_VAN,0.07,26000,55000
J_AND_T_EXPRESS,0.065,24000,52000
SHOPPEE_EXPRESS,0.06,22000,48000
LAZADA_EXPRESS,0.045,23000,50000
NHAN_TAI_CUA_HANG,0.045,0,0
DIEM_GIAO_DICH,0.03,0,10000
GIAO_HANG_TIET_KIEM,0.085,20000,42000
GIAO_HANG_COOL,0.02,40000,88000
HOA_TOC_NOI_THANH,0.025,55000,110000
