{city} General Hospital,1
{city} Medical Center,1
{city} Community Hospital,1
{city} Regional Medical Center,1
{city} Memorial Hospital,1
{state} University Hospital,1
{city} Methodist Hospital,1
{city} Presbyterian Hospital,1
{city} Baptist Medical Center,1
{city} St. Mary's Hospital,1
{city} St. Joseph's Hospital,1
{city} Mercy Hospital,1
{city} Children's Hospital,1
{city} Veterans Hospital,1
University of {state} Medical Center,1
{city} Health System,1
{city} Healthcare,1
North {city} Medical Center,1
South {city} Hospital,1
East {city} Regional Hospital,1
West {city} Medical Center,1
{city} County Hospital,1
{city} Memorial Health,1
{city} Regional Health System,1
{city} Medical Associates,1
