Pregnant or breastfeeding, 200
Planning to become pregnant during the study period, 180
Known hypersensitivity to the study drug or its components, 190
Participation in another clinical trial within 30 days, 180
Major surgery within 4 weeks prior to enrollment, 170
History of non-compliance with medical regimens, 160
Unwilling or unable to comply with the protocol, 170
Significant medical condition that could interfere with the study, 160
Unstable medical condition requiring immediate treatment, 150
Active infection requiring systemic treatment, 140
History of malignancy within the past 5 years, 130
Immunocompromised status, 120
History of organ transplantation, 110
Significant cardiovascular disease, 150
Uncontrolled hypertension, 140
Uncontrolled diabetes, 140
Severe renal impairment, 130
Severe hepatic impairment, 130
History of gastrointestinal disorders that could affect drug absorption, 120
History of seizures or epilepsy, 110
History of stroke or transient ischemic attack within 6 months, 120
History of myocardial infarction within 6 months, 120
Psychiatric disorder that could impair compliance, 110
Substance abuse within the past year, 100
Positive test for hepatitis B, hepatitis C, or HIV, 90
Use of prohibited medications, 100
Abnormal laboratory values of clinical significance, 90
QTc interval prolongation on ECG, 80
History of ventricular arrhythmias, 80
Bleeding disorder or anticoagulant therapy, 70
Planned elective surgery during the study period, 70
Life expectancy less than 6 months, 60
Eastern Cooperative Oncology Group (ECOG) performance status > 2, 60
Karnofsky Performance Status (KPS) score < 60%, 50
Prior treatment with similar agents, 50
Radiation therapy within 4 weeks prior to enrollment, 40
Inability to swallow oral medications, 40
Contraindications to required imaging procedures, 30
Legal incapacity or limited legal capacity, 30
Employee or family member of the investigator or study site, 20 
