Mayo Clinic, 200
Cleveland Clinic, 190
Massachusetts General Hospital, 180
Johns Hopkins Hospital, 180
UCLA Medical Center, 170
New York-Presbyterian Hospital, 170
UCSF Medical Center, 160
Northwestern Memorial Hospital, 160
Stanford Health Care, 150
Cedars-Sinai Medical Center, 150
University of Michigan Hospitals, 140
Brigham and Women's Hospital, 140
Houston Methodist Hospital, 130
Mount Sinai Hospital, 130
Duke University Hospital, 120
Barnes-Jewish Hospital, 120
NYU Langone Hospitals, 110
University of Washington Medical Center, 110
UPMC Presbyterian, 100
Yale New Haven Hospital, 100
Vanderbilt University Medical Center, 90
University of Wisconsin Hospital, 90
University of Colorado Hospital, 80
University of North Carolina Hospitals, 80
University of Iowa Hospitals and Clinics, 70
University of Alabama Hospital, 70
University of Maryland Medical Center, 60
University of Virginia Medical Center, 60
University of Kentucky Hospital, 50
University of Minnesota Medical Center, 50
University of Utah Hospital, 40
University of Arizona Medical Center, 40
University of Missouri Hospital, 30
University of Oklahoma Medical Center, 30
University of Arkansas Medical Center, 20
University of Nebraska Medical Center, 20
University of Kansas Hospital, 20
University of South Carolina Medical Center, 10
University of Tennessee Medical Center, 10
University of Florida Health Shands Hospital, 10 
