Medtronic,150
GE Healthcare,140
Philips Healthcare,130
Siemens Healthineers,120
Johnson & Johnson,160
Abbott Laboratories,140
Boston Scientific,110
Stryker,100
Baxter International,90
Becton Dickinson,120
Zimmer Biomet,80
Smith & Nephew,70
Olympus Medical,60
Fresenius Medical Care,50
Hill-Rom,90
ResMed,80
Danaher,70
Edwards Lifesciences,60
Intuitive Surgical,50
Terumo,40
3M Healthcare,100
Alcon,70
Align Technology,50
Bausch Health,60
Cardinal Health,90
Cerner,80
Dexcom,70
Hologic,60
Illumina,50
Masimo,40 
