Patient nüchtern für 12 Stunden vor der Probenentnahme.,100
Probe am Morgen entnommen.,80
Ergebnisse vom behandelnden Arzt überprüft.,70
Keine Auffälligkeiten festgestellt.,60
Nachuntersuchung in 6 Monaten empfohlen.,50
Wiederholung des Tests in 3 Monaten empfohlen.,50
Patient berichtete über leichtes Unbehagen während der Entnahme.,40
Probe innerhalb von 60 Minuten nach Entnahme verarbeitet.,40
Test nach Standardlaborprotokollen durchgeführt.,40
Ergebnisse stimmen mit früheren Tests überein.,40
Patient nimmt Medikamente, die die Ergebnisse beeinflussen können.,30
Probenqualität ausgezeichnet.,30
Grenzwertige Ergebnisse erfordern klinische Korrelation.,30
Patientengeschichte deutet auf notwendige Überwachung hin.,30
Probe durch Venenpunktion entnommen.,30
Test auf automatischem Analysegerät durchgeführt.,20
Ergebnisse vom Laborleiter verifiziert.,20
Kritische Werte dem Arzt telefonisch mitgeteilt.,20
Probe hämolysiert; kann bestimmte Ergebnisse beeinflussen.,20
Patient nicht nüchtern; kann Glukosewerte beeinflussen.,20
Referenzbereiche an Patientendemografie angepasst.,10
Probe innerhalb von 30 Minuten im Labor eingegangen.,10
Test als Notfallanforderung durchgeführt.,10
Ergebnisse innerhalb von 24 Stunden nach Entnahme verfügbar.,10
Probe bei angemessener Temperatur gelagert.,10 
