specialty,weight
Family Medicine,200
Internal Medicine,190
Pediatrics,180
Emergency Medicine,170
Obstetrics and Gynecology,160
Psychiatry,150
Surgery,140
Anesthesiology,130
Radiology,120
Cardiology,110
Orthopedics,100
Neurology,95
Dermatology,90
Ophthalmology,85
Urology,80
Gastroenterology,75
Oncology,70
Endocrinology,65
Nephrology,60
Pulmonology,55
Rheumatology,50
Infectious Disease,45
Hematology,40
Physical Medicine and Rehabilitation,35
Allergy and Immunology,30
Otolaryngology,25
Plastic Surgery,20
Vascular Surgery,15
General Surgery,140
Geriatrics,10
Palliative Care,10
Sports Medicine,10
Critical Care Medicine,10
Medical Genetics,10
Nuclear Medicine,10
Pathology,10
Preventive Medicine,10
Radiation Oncology,10
Sleep Medicine,10
Thoracic Surgery,10
Transplant Surgery,10
Neonatal-Perinatal Medicine,10
Pain Medicine,10
Hospice and Palliative Medicine,10 
