name,department_id,jurisdiction,address,city,state,phone,website,weight
Công an thành phố Hà Nội,CATHN-01,Thành phố,"87 Trần Hưng Đạo, Hoàn Kiếm","Hà Nội","Hà Nội","024-3942-6777","hanoi.gov.vn/congan",0.12
Công an thành phố Hồ Chí Minh,CATPHCM-02,Thành phố,"268 Trần Hưng Đạo, Quận 1","TP. Hồ Chí Minh","TP. Hồ Chí Minh","028-3829-5944","congan.hochiminhcity.gov.vn",0.11
Công an thành phố Đà Nẵng,CADN-03,Thành phố,"47 Lý Tự Trọng, Hải Châu","Đà Nẵng","Đà Nẵng","0236-3822-338","cadn.danang.gov.vn",0.09
Công an thành phố Hải Phòng,CAHP-04,Thành phố,"16 Lạch Tray, Ngô Quyền","Hải Phòng","Hải Phòng","0225-3747-113","haiphong.gov.vn/congan",0.08
Công an thành phố Cần Thơ,CACT-05,Thành phố,"9 Trần Phú, Ninh Kiều","Cần Thơ","Cần Thơ","0292-3838-113","cantho.gov.vn/congan",0.07
Công an tỉnh Bình Dương,CABD-06,Tỉnh,"5 Yersin, Thủ Dầu Một","Bình Dương","Bình Dương","0274-3822-456","binhduong.gov.vn/congan",0.06
Công an tỉnh Đồng Nai,CADN-07,Tỉnh,"2 Nguyễn Ái Quốc, Biên Hòa","Đồng Nai","Đồng Nai","0251-3827-115","congandongnai.gov.vn",0.06
Công an thành phố Huế,CATTH-08,Thành phố,"50 Trần Cao Vân, Phú Hội","Huế","Thừa Thiên Huế","0234-3822-113","thuathienhue.gov.vn/congan",0.05
Cảnh sát biển Vùng 1,CSB1-09,Liên vùng,"Tân Dương, Thuỷ Nguyên","Hải Phòng","Hải Phòng","0225-3875-999","canhsatbien.vn",0.04
Cảnh sát giao thông Cục C06,C06-10,Trung ương,"123 Lê Duẩn, Hoàn Kiếm","Hà Nội","Hà Nội","024-3942-7201","mps.gov.vn/csgt",0.04
San Jose Police Department,SJPD-10,City,"201 W Mission St, San Jose, CA 95110","San Jose","CA","408-555-1100","www.sjpd.org",0.04
Austin Police Department,APD-11,City,"715 E 8th St, Austin, TX 78701","Austin","TX","512-555-1200","www.austintexas.gov/police",0.04
Jacksonville Sheriff's Office,JSO-12,County,"501 E Bay St, Jacksonville, FL 32202","Jacksonville","FL","904-555-1300","www.jaxsheriff.org",0.03
Fort Worth Police Department,FWPD-13,City,"505 W Felix St, Fort Worth, TX 76115","Fort Worth","TX","817-555-1400","www.fortworthpd.com",0.03
Columbus Division of Police,CDP-14,City,"120 Marconi Blvd, Columbus, OH 43215","Columbus","OH","614-555-1500","www.columbus.gov/police",0.03
Charlotte-Mecklenburg Police,CMPD-15,City,"601 E Trade St, Charlotte, NC 28202","Charlotte","NC","704-555-1600","www.cmpd.org",0.03
Indianapolis Metropolitan Police,IMPD-16,City,"50 N Alabama St, Indianapolis, IN 46204","Indianapolis","IN","317-555-1700","www.indy.gov/impd",0.03
Seattle Police Department,SPD-17,City,"610 5th Ave, Seattle, WA 98124","Seattle","WA","206-555-1800","www.seattle.gov/police",0.02
Denver Police Department,DPD-18,City,"1331 Cherokee St, Denver, CO 80204","Denver","CO","720-555-1900","www.denvergov.org/police",0.02
Washington DC Metropolitan Police,MPD-19,City,"300 Indiana Ave NW, Washington, DC 20001","Washington","DC","202-555-2100","www.mpdc.dc.gov",0.02
Boston Police Department,BPD-20,City,"1 Schroeder Plaza, Boston, MA 02120","Boston","MA","617-555-2200","www.bpdnews.com",0.02
Las Vegas Metropolitan Police,LVMPD-21,County,"400 S Martin L King Blvd, Las Vegas, NV 89106","Las Vegas","NV","702-555-2300","www.lvmpd.com",0.02
