Harvard Medical School, 200
Johns Hopkins University School of Medicine, 190
Stanford University School of Medicine, 180
University of California, San Francisco, 180
Mayo Clinic Alix School of Medicine, 170
Yale School of Medicine, 170
Columbia University Vagelos College of Physicians and Surgeons, 160
University of Pennsylvania Perelman School of Medicine, 160
Duke University School of Medicine, 150
University of Washington School of Medicine, 150
University of Michigan Medical School, 140
University of Chicago Pritzker School of Medicine, 140
Northwestern University Feinberg School of Medicine, 130
Vanderbilt University School of Medicine, 130
University of Pittsburgh School of Medicine, 120
Washington University School of Medicine, 120
Cornell University Weill Medical College, 110
University of California, Los Angeles, 110
Baylor College of Medicine, 100
University of North Carolina School of Medicine, 100
New York University Grossman School of Medicine, 90
Icahn School of Medicine at Mount Sinai, 90
University of Texas Southwestern Medical School, 80
Emory University School of Medicine, 80
University of Wisconsin School of Medicine and Public Health, 70
University of Virginia School of Medicine, 70
University of Iowa Roy J. and Lucille A. Carver College of Medicine, 60
University of Colorado School of Medicine, 60
University of Alabama School of Medicine, 50
University of Rochester School of Medicine and Dentistry, 50
University of California, San Diego, 40
University of California, Davis, 40
University of Florida College of Medicine, 30
University of Maryland School of Medicine, 30
University of Minnesota Medical School, 20
University of Utah School of Medicine, 20
University of Arizona College of Medicine, 10
University of Kentucky College of Medicine, 10
University of Missouri School of Medicine, 10
University of Oklahoma College of Medicine, 10 
