specimen_type,weight
Blut,200
Serum,180
Plasma,170
Urin,190
Stuhl,120
Liquor,80
Sputum,100
Rachenabstrich,150
Nasenabstrich,140
Nasopharyngealabstrich,130
Wundabstrich,110
Gewebeprobe,90
Knochenmark,70
Synovialflussigkeit,60
Pleuralflussigkeit,50
Peritonealflussigkeit,40
Perikardflussigkeit,30
Fruchtwasser,50
Speichel,160
Haar,40
Nagel,30
Hautabschurfung,40
Bronchialspulung,60
Bronchialburstenabstrich,50
Bronchoalveolare Lavage,70
Magenflussigkeit,40
Galle,30
Samenflussigkeit,20
Vaginalabstrich,80
Zervikalabstrich,90
Endozervikalabstrich,80
Rektalabstrich,70
Ohrabstrich,60
Augenabstrich,50
Abszessflussigkeit,40
Dialyseflussigkeit,30
Getrockneter Blutfleck,50 
